11477, 115, 274335,324,231
11477, 116, 273725,323,230
11477, 117, 276640,322,232
11477, 118, 270474,324,229
11477, 119, 268985,322,229
11477, 120, 274712,322,231
11477, 121, 271639,324,229
11477, 122, 271683,323,229
11477, 123, 273205,323,230
11477, 124, 274846,322,231
11477, 125, 271204,324,229
11477, 126, 276212,324,231
11477, 127, 274651,322,231
11477, 128, 272767,325,230
11477, 129, 278681,324,232
11477, 130, 280883,323,233
11477, 131, 278431,324,232
11477, 132, 281783,323,234
11477, 133, 277932,324,232
11477, 134, 275869,324,231
11477, 135, 275943,324,231
11477, 136, 276377,323,232
11477, 137, 278635,324,232
11477, 138, 279063,325,232
11477, 139, 275765,322,231
11477, 140, 280065,323,233
11477, 141, 281201,323,233
11477, 142, 277245,323,232
11477, 143, 277725,322,232
11477, 144, 277105,323,231
11477, 145, 282575,323,234
11477, 146, 277790,323,232
11477, 147, 279034,323,232
11477, 148, 282168,324,233
11477, 149, 283726,322,235
11477, 150, 277090,323,232
11477, 151, 276756,325,232
11477, 152, 276754,326,231
11477, 153, 280418,322,233
11477, 154, 277777,324,232
11477, 155, 280688,324,233
11477, 156, 278514,322,232
11477, 157, 279808,323,233
11477, 158, 285067,320,243
11477, 159, 244161,311,211
11477, 160, 248258,313,212
11477, 161, 255078,313,219
11477, 162, 250300,315,212
11477, 163, 253421,315,217
11477, 164, 251414,316,212
11477, 165, 252081,316,212
11477, 166, 249332,316,211
11477, 167, 248457,316,211
11477, 168, 253806,315,217
11477, 169, 246848,317,210
11477, 170, 249297,316,211
11477, 171, 252025,316,212
11477, 172, 251772,316,212
11477, 173, 250550,316,212
11477, 174, 257852,314,219
11477, 175, 252903,316,217
11477, 176, 254657,315,218
11477, 177, 251327,317,216
11477, 178, 256514,315,218
11477, 179, 251276,316,212
11477, 180, 248496,316,210
11477, 181, 255413,315,218
11477, 182, 248465,317,211
11477, 183, 246845,316,210
11477, 184, 255707,315,218
11477, 185, 249821,317,211
11477, 186, 251287,317,211
11477, 187, 248141,316,210
11477, 188, 248956,317,211
11477, 189, 252168,314,212
11477, 190, 248141,316,211
11477, 191, 259363,314,220
11477, 192, 251817,317,216
11477, 193, 253791,316,213
11477, 194, 257751,316,219
11477, 195, 252377,316,217
11477, 196, 250022,317,210
11477, 197, 251152,316,212
11477, 198, 249680,317,211
11477, 199, 248327,317,210
11477, 200, 249798,317,211
11477, 201, 251387,316,213
11477, 202, 249674,316,211
11477, 203, 250593,316,211
11477, 204, 252633,315,213
11477, 205, 278929,321,233
11477, 206, 277803,322,232
11477, 207, 277711,319,233
11477, 208, 272949,323,230
11477, 209, 275735,321,231
11477, 210, 279871,324,232
11477, 211, 277181,324,231
11477, 212, 276071,323,231
11477, 213, 272956,325,229
11477, 214, 274273,325,230
11477, 215, 274928,320,231
